localfocus_id,marple_id
Antwerpen,BE_0BEANR
Gent (Ghent),BE_0BEGNE
Oostende (Ostend),BE_0BEOST
Zeebrugge,BE_0BEZEE
Burgas,BG_0BGBOJ
Varna,BG_0BGVAR
Aalborg,DK_0DKAAL
Ærøskøbing,DK_0DKARK
Århus,DK_0DKAAR
Bagenkop,DK_0DKBAG
Ballebro,DK_0DKBLB
Bøjden,DK_0DKBOS
Branden Havn,DK_0DKBRH
Dragør,DK_0DKDRA
Ebeltoft,DK_0DKEBT
Egense,DK_0DKEGN
Esbjerg,DK_0DKEBJ
Fåborg Havn,DK_0DKFAA
Fejø,DK_0DKFEJ
Fredericia (Og Shell-Havnen),DK_0DKFRC
Frederikshavn,DK_0DKFDH
Fur,DK_0DKFUH
Fynshav,DK_0DKFYH
Gedser,DK_0DKGED
Grenå,DK_0DKGRE
Hals,DK_0DKHAS
Hanstholm,DK_0DKHAN
Hardeshøj,DK_0DKHDH
Havneby,DK_0DKHNB
Helsingør (Elsinore),DK_0DKHLS
Hirtshals,DK_0DKHIR
Hou Havn,DK_0DKHOH
Hundested,DK_0DKHUN
Hvalpsund,DK_0DKHVA
Kalundborg,DK_0DKKAL
Kastrup,DK_0DKKTP
Kleppen,DK_0DKKLP
Københavns Havn,DK_0DKCPH
Køge,DK_0DKKOG
Korsør,DK_0DKKRR
Kragenæs,DK_0DKKRA
Marstal,DK_0DKMRS
Masnedsund,DK_0DKMNS
"Nordby Havn, Fanø",DK_0DKNDB
Nørresundby,DK_0DKNRS
Nyborg,DK_0DKNBG
Rødby (Færgehavn),DK_0DKROF
Rønne,DK_0DKRNN
Rørvig,DK_0DKRRV
Rudkøbing,DK_0DKRKB
Sælvig Havn,DK_0DKSLV
Sjællands Odde,DK_0DKSJO
Spodsbjerg Havn,DK_0DKSPB
Sundsøre,DK_0DKSUE
Svendborg,DK_0DKSVE
Tårs,DK_0DKTRS
Thyborøn,DK_0DKTYB
Venø Havn,DK_0DKVEN
"Vesterø Havn, Læsø",DK_0DKVES
Vordingborg Havn,DK_0DKVOR
Amrum,DE_1DEIAM
Baltrum,DE_1DEBMR
Bensersiel,DE_1DEBEN
Borkum,DE_1DEBMK
Bremen,DE_1DEBRE
Bremerhaven,DE_1DEBRV
Brunsbüttel,DE_1DEBRB
Büsum,DE_1DEBUM
Carolinensiel,DE_1DECAR
Cuxhaven,DE_1DECUX
Dagebüll,DE_1DEDAG
Eckernförde,DE_2DEECK
Emden,DE_1DEEME
Flensburg,DE_2DEFLF
Hamburg,DE_1DEHAM
Heiligenhafen,DE_2DEHHF
Helgoland,DE_1DEHGL
Hooksiel,DE_1DEHOO
Hörnum/Sylt,DE_1DEHRM
Juist,DE_1DEJUI
Kiel,DE_2DEKEL
Langeoog,DE_1DELGO
List/Sylt,DE_1DELIS
Lübeck,DE_2DELBC
Nessmersiel,DE_1DENES
Neuharlingersiel,DE_1DENHS
Neustadt/Holstein,DE_2DENHO
Norddeich,DE_1DENOE
Norderney,DE_1DENRD
Nordstrand,DE_1DENOR
Pellworm,DE_1DEPEL
Puttgarden,DE_2DEPUT
Rostock,DE_2DERSK
Sassnitz,DE_2DESAS
Spieckeroog,DE_1DESPI
Ueckermünde,DE_2DEUCK
Wangerooge,DE_1DEAGE
Wedel-Schulau,DE_1DEWED
Wilhelmshaven,DE_1DEWVN
Wittmund,DE_1DEWMD
Heltermaa,EE_0EEHLT
Kuivastu,EE_0EEKUI
Patareisadam,EE_0EEPAR
Rohuküla,EE_0EERHK
Tallinn,EE_0EETLL
Virtsu,EE_0EEVIR
Cork,IE_0IEORK
Dublin,IE_0IEDUB
Dun Laoghaire,IE_0IEDLG
Rosslare Harbour,IE_0IEROS
Adamas Milou,EL_0GRMLO
Agia Efimia,EL_0GRAEF
Agia Marina Attikis,EL_0GRGMA
Agia Pelagia,EL_0GRAPE
Agia Roumeli Chanion,EL_0GRROU
Agioi Theodoroi,EL_0GRAGT
Agiokampos Larisas,EL_0GRAGK
Agios Kirykos,EL_0GRAKI
Agios Konstantinos,EL_0GRAKO
Agios Nikolaos Kritis,EL_0GRANI
Agkistri Aiginas,EL_0GRAGG
Aidipsos,EL_0GREDI
Aigina,EL_0GRAEG
Aktio Vonitsas,EL_0GRAKT
Alexandroupolis,EL_0GRAXD
Alonnisos,EL_0GRALO
Ammouliani,EL_0GRAMI
Amorgos (Katapola),EL_0GRAMO
Andros,EL_0GRAND
Antiparos,EL_0GRANP
Antirrio,EL_0GRANT
Argostoli,EL_0GRARM
Arkitsa Fthiotidas,EL_0GRARK
Astakos,EL_0GRAST
Astypalaia,EL_0GRJTY
Chalki Dodekanisou,EL_0GRHAL
Chalkida,EL_0GRCLK
Chania,EL_0GRCHQ
Chios,EL_0GRJKH
Chora Sfakion,EL_0GRCSF
Dafni Agiou Orous,EL_0GRDAF
Elafonisos Lakonias,EL_0GRELN
Elefsina,EL_0GREEU
Eretria Evvoias,EL_0GRERE
Ermioni,EL_0GRERM
Evdilos,EL_0GREYD
Faneromeni Salaminas,EL_0GRFNR
Folegandros Kyklades,EL_0GRFOL
Fournoi Samou,EL_0GRFOU
Frikes Ithakis,EL_0GRSAT
Galatas Troizinias,EL_0GRGAL
Gavrio,EL_0GRGAV
Glossa Skopelou,EL_0GRGLO
Glyfa Fthiotidas,EL_0GRGLY
Gytheio,EL_0GRGYT
Igoumenitsa,EL_0GRIGO
Ios,EL_0GRIOS
Irakleio,EL_0GRHER
Isthmia,EL_0GRITM
Itea,EL_0GRITA
Ithaki,EL_0GRITH
Kalamata,EL_0GRKLX
Kalymnos,EL_0GRKMI
Karlovasi,EL_0GRKAR
Karpathos,EL_0GRAOK
Karystos,EL_0GRKST
Kasos,EL_0GRKSJ
Kasteli Kissamou,EL_0GRKIS
Katakolo,EL_0GRKAK
Kavala,EL_0GRKVA
Kea,EL_0GRKEA
Keramoti,EL_0GRKER
Kerkyra,EL_0GRCFU
