marple_id,localfocus_id
All nations,Total
Afghanistan,
Angola,
Albania,
Andorra,
United Arab Emirates,
Argentina,
Armenia,
Antigua and Barbuda,
Australia,
Austria,Austria
Azerbaijan,
Burundi,
Belgium,Belgium
Benin,
Burkina Faso,
Bangladesh,
Bulgaria,Bulgaria
Bahrain,
Bahamas,
Bosnia and Herzegovina,
Belarus,
Belize,
Bolivia,
Brazil,
Barbados,
Brunei Darussalam,
Bhutan,
Botswana,
Central African Republic,
Canada,
Switzerland,
Chile,
China,
Cote D'Ivoire,
Cameroon,
Democratic republic of Congo,
Republic of Congo,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Cyprus,Cyprus
Czech Republic,Czech Republic
Germany,Germany
Djibouti,
Dominica,
Denmark,Denmark
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Spain,Spain
Estonia,Estonia
Ethiopia,
Finland,Finland
Fiji,
France,France
Micronesia,
Gabon,
United Kingdom of Great Britain,United Kingdom
Georgia,
Ghana,
Guinea,
The Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,Greece
Grenada,
Guatemala,
Guyana,
Honduras,
Croatia,Croatia
Haiti,
Hungary,Hungary
Indonesia,
India,
Ireland,Ireland
Iran,
Iraq,
Iceland,Iceland
Israel,
Italy,Italy
Jamaica,
Yugoslavia,
Japan,Japan
Kazakhstan,
Kenya,
Kyrgyz Republic,
Cambodia,
Kiribati,
St. Kitts and Nevis,
Korea,
Kosovo,
Kuwait,
Lao People's Democratic Republic,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,Lithuania
Luxembourg,Luxembourg
Latvia,Latvia
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Mexico,
Marshall Islands,
Macedonia,"Former Yugoslav Republic of Macedonia, the"
Mali,
Malta,Malta
Myanmar,
Montenegro,
Mongolia,
Mozambique,
Mauritania,
Mauritius,
Malawi,
Malaysia,
Namibia,
Niger,
Nigeria,
Nicaragua,
Netherlands,Netherlands
Norway,Norway
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Peru,
Philippines,
Palau,
Papua New Guinea,
Poland,Poland
North Korea,
Portugal,Portugal
Paraguay,
Qatar,
Romania,Romania
Russian Federation,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Singapore,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
Serbia,
South Sudan,
Sao Tome and Principe,
Suriname,
Slovakia,Slovakia
Slovenia,Slovenia
Sweden,Sweden
Swaziland,
Seychelles,
Syrian Arab Republic,
Chad,
Togo,
Thailand,
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,Turkey
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Ukraine,
Uruguay,
United States of America,United States
Uzbekistan,
Holy See,
St. Vincent and the Grenadines,
Venezuela,
Viet Nam,
Vanuatu,
Samoa,
Yemen,
South Africa,
Zambia,
Zimbabwe,
Jordan,
East Germany,
Serbia and Montenegro,
Soviet Union,
South Yemen,
Netherlands Antilles,
Palestine,
Hong Kong,
American Samoa,
North Vietnam,
Channel Islands,
Sikkim,
Curaçao,
European Union,
Faroe Islands,
Isle of Man,
Macau,
New Caledonia,
Northern Mariana Islands,
Sint Maarten,
Saint Martin,
Turks and Caicos Islands,
United States Virgin Islands,
British Virgin Islands,
Puerto Rico,
Guam,
Greenland,
French Polynesia,
Cayman Islands,
Bermuda,
Aruba,
Czechoslovakia,
Saint Pierre and Miquelon,
Falkland Islands,
French Guiana,
Guadeloupe,
Martinique,
Montserrat,
Gibraltar,
Réunion,
Saint Helena,
Western Sahara,
Cook Islands,
Niue,
United States Minor Outlying Islands,
Wake Island,
Mayotte,
Anguilla,
Tokelau,
Wallis and Futuna Islands,
Belgium-Luxembourg,
British Indian Ocean Territory,
Pitcairn Islands,
Organisation of Eastern Caribbean States,
Northern Cyprus,
